Country Name,Year,Life Expectancy
Armenia,2000,72.88048780487806
Austria,2000,78.1268292682927
Azerbaijan,2000,65.377
Belgium,2000,77.72195121951219
Bulgaria,2000,71.66341463414635
Croatia,2000,72.8078048780488
Cyprus,2000,77.9
Denmark,2000,76.59268292682927
Estonia,2000,70.41707317073173
Finland,2000,77.4658536585366
France,2000,79.05609756097562
Germany,2000,77.92682926829269
Greece,2000,77.8878048780488
Hungary,2000,71.24634146341464
Iceland,2000,79.65365853658537
Ireland,2000,76.53658536585367
Isle of Man,2000,74.842
Italy,2000,79.77804878048782
Latvia,2000,70.31463414634148
Lithuania,2000,72.01951219512195
Luxembourg,2000,77.87317073170732
Malta,2000,78.34878048780489
Netherlands,2000,77.98780487804879
Norway,2000,78.63414634146342
Poland,2000,73.74878048780488
Portugal,2000,76.31463414634148
Romania,2000,71.16341463414635
Russian Federation,2000,65.48365853658537
Slovenia,2000,75.41219512195123
Spain,2000,78.96585365853659
Sweden,2000,79.6439024390244
Switzerland,2000,79.68048780487806
Turkiye,2000,71.931
United Kingdom,2000,77.74146341463415
Armenia,2001,72.97560975609757
Austria,2001,78.57560975609756
Azerbaijan,2001,66.043
Belgium,2001,77.97317073170734
Bulgaria,2001,71.76829268292684
Croatia,2001,74.51292682926831
Cyprus,2001,78.185
Denmark,2001,76.79268292682929
Estonia,2001,70.25853658536586
Finland,2001,77.96585365853659
France,2001,79.15853658536587
Germany,2001,78.32926829268293
Greece,2001,78.38780487804878
Hungary,2001,72.2487804878049
Iceland,2001,80.69024390243904
Ireland,2001,77.13414634146342
Isle of Man,2001,75.289
Italy,2001,80.12682926829268
Latvia,2001,70.7609756097561
Lithuania,2001,71.65853658536585
Luxembourg,2001,77.82439024390246
Malta,2001,78.84390243902439
Netherlands,2001,78.19024390243904
Norway,2001,78.78536585365853
Poland,2001,74.20000000000002
Portugal,2001,76.81463414634149
Romania,2001,71.16097560975611
Russian Federation,2001,65.38341463414635
Slovenia,2001,75.75853658536586
Spain,2001,79.36829268292684
Sweden,2001,79.79512195121951
Switzerland,2001,80.18048780487806
Turkiye,2001,72.271
United Kingdom,2001,77.99268292682927
Armenia,2002,72.8268292682927
Austria,2002,78.67804878048783
Azerbaijan,2002,66.769
Belgium,2002,78.07560975609758
Bulgaria,2002,71.86585365853658
Croatia,2002,74.71731707317075
Cyprus,2002,78.758
Denmark,2002,76.89512195121951
Estonia,2002,70.9048780487805
Finland,2002,78.11951219512196
France,2002,79.26097560975612
Germany,2002,78.22926829268293
Greece,2002,78.64146341463415
Hungary,2002,72.34878048780489
Iceland,2002,80.50243902439026
Ireland,2002,77.63414634146342
Isle of Man,2002,75.785
Italy,2002,80.22926829268295
Latvia,2002,70.96097560975612
Lithuania,2002,71.76097560975612
Luxembourg,2002,77.96585365853659
Malta,2002,78.73902439024391
Netherlands,2002,78.29268292682927
Norway,2002,78.98780487804879
Poland,2002,74.49756097560977
Portugal,2002,77.0658536585366
Romania,2002,71.00975609756098
Russian Federation,2002,65.12878048780489
Slovenia,2002,76.00731707317074
Spain,2002,79.56829268292684
Sweden,2002,79.84634146341465
Switzerland,2002,80.38536585365854
Turkiye,2002,72.605
United Kingdom,2002,78.14390243902439
